['Department of Art Faculty Exhibition'],['Presenting eight new faculty and associate professors in the Department of Art including Jessica Mallios (art & technology); Aspen Mays (photography); Shane Mecklenburger (art & technology); George Rush (painting/drawing); Kate Shannon (photography) and three others to be determined in the areas of social practice art & technology and painting/drawing.Reception: Saturday September 28 6-8 pm.'],"['October 27, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Painting/Tableau/Stage'],['Department of Art Professor Laura Lisbon brings three international contemporary painters--Moyra Derby Mick Finch and Beth Harland--to host a vibrant exhibition discussing the tableau a concept currently receiving much critical attention in England.Reception: Saturday September 28 6-8 pm.'],"['October 27, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Jazz Lab Ensemble Concert'],['For ticket and parking information visit: music.osu.edu.'],"['October 27, 20133:00 PM']",['Weigel Auditorium'],['Tami Morris'],['614-247-7036'],"['Arts and Sciences  Music, School Of']",['Concert']
"['""THE CHOOSING: A RABBI\'S JOURNEY""']",['Part One of: CHILDREN OF ABRAHAM AND SARAH: A SERIES ON CONVERSION AND JUDAISM Join Rabbi Andrea Myers author of The Choosing: A Rabbi\xd5s Journey from Silent Nights to High Holy Days for a discussion about the personal and historical complexities of conversion to Judaism coming out as a lesbian and becoming a rabbi.  Rabbi Andrea Myers has shared her unique stories around the world. After receiving her BA in Neuroscience from Brandeis University she studied for two years in Jerusalem and was ordained at the Academy for Jewish Religion (AJR) an interdenominational seminary in New York City. She has been part of the faculty and administration of AJR and has served as the co-president of their professional alumni organization the Association of Rabbis and Cantors. Rabbi Myers is a member of the New York Board of Rabbis. She lives and teaches in New York City and has led congregations from the Rocky Mountains to the Borscht Belt. Co-sponsored by OSU Hillel the Jewish Studies Student Association and the Atid division of the Jewish Federation of Columbus.Free dinner included reservation required.  Please reserve your free ticket by Tuesday October 22: jewishconversion.eventbrite.com'],"['October 27, 20136:30 PM']",['Area on Campus: OSU Hillel: 46 East 16th Ave.'],['Paige Bailey Goslin'],['614-247-7882'],['Melton Center for Jewish Studies  Near Eastern Languages And Cultures'],['Lecture']
['Department of Art Faculty Exhibition'],['Presenting eight new faculty and associate professors in the Department of Art including Jessica Mallios (art & technology); Aspen Mays (photography); Shane Mecklenburger (art & technology); George Rush (painting/drawing); Kate Shannon (photography) and three others to be determined in the areas of social practice art & technology and painting/drawing.Reception: Saturday September 28 6-8 pm.'],"['October 28, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Painting/Tableau/Stage'],['Department of Art Professor Laura Lisbon brings three international contemporary painters--Moyra Derby Mick Finch and Beth Harland--to host a vibrant exhibition discussing the tableau a concept currently receiving much critical attention in England.Reception: Saturday September 28 6-8 pm.'],"['October 28, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Percussion Ensemble Concert'],['For ticket and parking information visit: music.osu.edu.'],"['October 28, 20138:00 PM']",['Weigel Auditorium'],['Tami Morris'],['614-247-7036'],"['Arts and Sciences  Music, School Of']",['Concert']
['Department of Art Faculty Exhibition'],['Presenting eight new faculty and associate professors in the Department of Art including Jessica Mallios (art & technology); Aspen Mays (photography); Shane Mecklenburger (art & technology); George Rush (painting/drawing); Kate Shannon (photography) and three others to be determined in the areas of social practice art & technology and painting/drawing.Reception: Saturday September 28 6-8 pm.'],"['October 29, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Painting/Tableau/Stage'],['Department of Art Professor Laura Lisbon brings three international contemporary painters--Moyra Derby Mick Finch and Beth Harland--to host a vibrant exhibition discussing the tableau a concept currently receiving much critical attention in England.Reception: Saturday September 28 6-8 pm.'],"['October 29, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Brazil Global May Abroad Info Session'],['This Global May program will introduce you to the ethnic environmental and cultural diversity of Brazil.  Your studies will take place in the state of Sao Paulo and in city of Salvador.  This four-week program is designed for first and second year students.  All majors are welcome!   Come to an information session to learn more about Brazil Global May   and think about where next May will take you. For more information please contact Jeannie Simmons (.272).'],"['October 29, 20135:00 PM - 6:00 PM']",['Area on Campus: 45 Hagerty Hall'],['Jeannie Simmons'],['6142926101'],['International Affairs'],['Workshop']
['Jazz Workshop Ensemble Concert'],['For ticket and parking information visit: music.osu.edu.'],"['October 29, 20138:00 PM']",['Weigel Auditorium'],['Tami Morris'],['614-247-7036'],"['Arts and Sciences  Music, School Of']",['Concert']
['Department of Art Faculty Exhibition'],['Presenting eight new faculty and associate professors in the Department of Art including Jessica Mallios (art & technology); Aspen Mays (photography); Shane Mecklenburger (art & technology); George Rush (painting/drawing); Kate Shannon (photography) and three others to be determined in the areas of social practice art & technology and painting/drawing.Reception: Saturday September 28 6-8 pm.'],"['October 30, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Painting/Tableau/Stage'],['Department of Art Professor Laura Lisbon brings three international contemporary painters--Moyra Derby Mick Finch and Beth Harland--to host a vibrant exhibition discussing the tableau a concept currently receiving much critical attention in England.Reception: Saturday September 28 6-8 pm.'],"['October 30, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Argentine Tango lesson and party tonight 8pm @ HAYES HALL lobby'],"[' Argentine Tango  student group lessons at OSU in the Autumn Semester:Wednesdays and Fridays 8pm lesson then practica.  All at HAYES HALL lobby. Prices: FREE; donation accepted.  New people are always welcome no partner needed (you will meet some) no dress code (leather soled shoes help) no previous experience (you will learn some) no American Tango (""Dancing with Stars"") two left feet ok.For updates and more details visit  http://atco.osu.edu or http://go.osu.edu/tango Join our facebook group:  http://www.facebook.com/groups/atcotango']","['October 30, 20138:00 AM - 11:00 PM']",[' Oval Hayes Hall lobby'],['Milonguera'],[''],['Student Activities'],['Workshop']
['Workshop - Art & Science of Facilitation'],['Wednesday October 30 20139:00 am - 3:00 pm2120 Fyffe Road Room 109Columbus OH 43210A good facilitator can make the difference between the success and failure of a group. Did you know there is an art and science to facilitation?  A successful facilitator utilizes a variety of tools processes and skills to lead a group to make decisions solve problems and be most effective.   This hands-on workshop focuses on learning and practicing the stages and characteristics of group facilitation.  Participants will learn tips and techniques for dealing effectively with groups including dealing with  conflict in a productive manner.   What is Facilitation? \xd2A process in which a person is acceptable to all members of a group substantively neutral and has no decision-making authority intervenes to help a group improve the way it identifies and solves problems and makes decisions in order to increase the group\xd5s effectiveness.\xd3 -R. Schwarz The Skilled Facilitator Participants will: Understand facilitation and the facilitator rolesAssess and manage group dynamicsIncorporate group problem-solving processesUnderstand role of diversity power and ethicsRecognize importance of humor and working miracles as a facilitatorCost: $125 per participant. To register and make payment please go to https://regonline.com/seriesleadership.'],"['October 30, 20139:00 AM - 3:00 PM']","['Area on Campus: 2120 Fyffe Rd., Room 105']",['Jody Termeer'],['614-292-3114'],[''],['Workshop']
['Contested Political Biographies: discussion with visiting scholar Anastasiya Astapova'],"['The Contested Biographies of Political Leaders: The Case of Alexander Lukashenko in BelarusA recurrent and seemingly universal phenomenon of political leadership is the doubling of biographies. There is an official biography, both personal and professional, often presented through state-sponsored media. But alternative beliefs and narratives also circulate. A famous example is that of former Russian president Boris Yeltsin, who was rumored to have died in the middle of his presidency and been replaced by a look-alike for the TV cameras; the US has also seen extensive public argument over the birthplace of Barack Obama. Some biographies of contemporary leaders have counter-beliefs for almost every element in them, starting from the birth of the leader. Based on recent ethnographic fieldwork, this talk focuses on the official and vernacular biographies of the current president of Belarus, Alexander Lukashenko. I ask how the biographies differ, how and by whom each version is constructed, and what consequences result.']","['October 30, 20134:00 PM - 5:30 PM']","['Area on Campus: 120 Mershon Center for International Studies, 1501 Neil Ave.']",['Cristina Benedetti'],['(614) 292-1369'],['Arts and Sciences  Comparative Studies In The Humanities'],['Forum']
"['Havens Lecture: Louis-Georges Tin on ""Colonization, Slavery, and Reparations in France and the World Today""']","['Havens Lecture: Louis-Georges Tin presents a lecture on ""Colonization Slavery and Reparations in France and the World Today"".Louis-Georges Tin is an internationally recognized scholar and activist. He is ma\x94tre de conf\x8erences at the \x83cole sup\x8erieure du professorat et de l\x8education in Orl\x8eans France. Author of the Dictionary of Homophobia and The Invention of Heterosexual Culture he was the driving force behind the International Day Against Homophobia approved by the UN General Assembly. One of the founders of the CRAN (Conseil Repr\x8esentatif des Associations Noires) he has served as the groups spokesperson and president.For more info visit frit.osu.edu.']","['October 30, 20135:00 PM']",['Area on Campus: 107 Hamilton Hall'],['Not given'],[''],['Arts and Sciences  French And Italian'],['Lecture']
['OSU Wind Symphony Concert'],"['Featuring In The Shadow of No Towers by cultural awareness advocate and composer-in-residence Mohammed Fairouz.  Inspired by Pulitzer Prize-winning graphic novelist Art Spiegelmans book about American life in the aftermath of 9/11. About its premiere at Carnegie Hall in March 2013 Steve Smith of the New York Times described the work as ""technically impressive consistently imaginative and in its finest stretches deeply moving."" For ticket and parking information visit: music.osu.edu.']","['October 30, 20138:00 PM']",['Weigel Auditorium'],['Tami Morris'],['614-247-7036'],"['Arts and Sciences  Music, School Of']",['Concert']
['Department of Art Faculty Exhibition'],['Presenting eight new faculty and associate professors in the Department of Art including Jessica Mallios (art & technology); Aspen Mays (photography); Shane Mecklenburger (art & technology); George Rush (painting/drawing); Kate Shannon (photography) and three others to be determined in the areas of social practice art & technology and painting/drawing.Reception: Saturday September 28 6-8 pm.'],"['October 31, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
['Painting/Tableau/Stage'],['Department of Art Professor Laura Lisbon brings three international contemporary painters--Moyra Derby Mick Finch and Beth Harland--to host a vibrant exhibition discussing the tableau a concept currently receiving much critical attention in England.Reception: Saturday September 28 6-8 pm.'],"['October 31, 2013']","['Area on Campus: Urban Arts Space, 50 W. Town St.']",['Not given'],[''],['Arts and Sciences'],['Exhibit']
